text,label
"Saya sangat antusias mengenai inovasi baru, semoga melalui kemerdekaan ini saya bisa mendeklarasikan ttg inovasi tersebut, demi utk kemajuan bgsa khususnya bidg kesehatan,,, amin",positif
"Sdh 74 tahun merdeka, baru ini yg jelas mentri Pendidikan, 😂😂😂😂😂😂😂😂😂😂😂",positif
Mantap Pak Nadiem\\n,positif
Luar biasa. Keren..,positif
program luar biasa Pak Nadiem. Semoga lancar\\n,positif
lanjutkan\\n,positif
"cerdik banget, mantap betul! Semoga kolaborasinya menghasilkan karya nyata untuk percepatan kemajuan masyarakat ya, Aamiin",positif
Terimakasih Mas Menteri 👍👍👍👍,positif
Maju terus Kemendikbud semoga kebijakan ini dapat berjalan dengan baik n hasilnya seperti yg diharapkan. Hidup mahasiswa! hidup rakyat Indonesia!,positif
gebrakan teruss.. semangat pak,positif
oke berangkat,positif
"ini baru disrupsi dalam dunia pendidikan. kami dukung langkahmu, Mas Menteri!",positif
eh  hebat gitu  alhamdulillah ada mentri kayak gini,positif
Inti suatu riset kan memberikan dampak sosial n penyelesaian masalah seperti yg di katakan pak mentri.,positif
"Bisa riset, pengabdian masyarakat, projek bersama dosen, dsb.  Boleh juga 100% di dalam prodi mengambil matakuliah. Kalo teman teman ilmu murni ingin memperdalam ilmunya pada prodi tersebut, ya boleh aja. Misal 3 semester ambil penelitian, atau 1 semester ambil mata kuliah, 2 semester ambil penelitian. Gak masalah",positif
"Keren... apalagi jika channel youtube mendikbud sering upload video2 hasil karya mahasiswa (kkn, pkl, dll) supaya mhs terinspirasi n menciptakan kolaborasi dlm membangun bangsa. Indonesia Maju!",positif
Menteri pendidikan ya bgini ini TOP.,positif
"kebijakanya selalu joss, buka serta terus merdekakan para pelajar hehe",positif
mentri termuda  n pintar yg mikir mhs ke depan nya,positif
mantap,positif
Terobos yg luar biasa... maju terus kerja Nyata Mas Menteri Milenial..,positif
sangat setuju n akan saya dukung secara total,positif
keren pak,positif
"Pak nadiem, sangat bagus kebijakannya. ",positif
baik pak saya siap melaksanakan kebijakannya,positif
Justru kenapa mahasiswa matematika perlu belajar biologi agar mengerti kalau tiap rumpun ilmu itu berhubungan,positif
wah istimewa emang nadiem ku,positif
"Mantap, lanjutkan",positif
MENTRI yg tugas sehari harinya ....administrasi SEKARANG bertambah JUGA MENJADI MOTIVATOR ...,positif
Mantap,positif
Saya sangat setuju,positif
berangkat,positif
berjuang terus kawan,positif
wah,positif
ikut pak,positif
setuju,positif
berangkat,positif
berangkat,positif
Semangat,positif
Luar biasa... mari kita coba....,positif
Filsafat gotong royong diterjemahkan mas Nadiem dgn baik. Luar biasa.,positif
Kebebasan kuliah. Kebebasan. Beri kesempatan.,positif
"Iya, bagus tuh, semoga bisa kayak gitu ke depannya, karena ini baru pembuka kebijakan yg akan hadir selqnjutnya. ",positif
Mantap.. Mentri Mentri pak Jokowi sekarang... jago,positif
Hebat pak Nadiem. Kebijakan luar biasa. Standar akreditasi jgn monolitik.,positif
saya setuju mhs harus dibekali seperti itu,positif
"salut kpd mendikbud, oke2 saja. ",positif
hebat banget sih,positif
Luar biasa..,positif
"Luar biasa, maju terus Mas Mentri 👍",positif
"Harapan besar d periode pak menteri menjadikan pendidikan di Indonesia maju lebih baik , sehat selalu pak",positif
Pengen balik kampus kalo gini. Rasanya bakal banyak sekali yg bisa dilakukan dengan kebijakan ini. Terutama poin ke 3.,positif
"aamiin, mudah - mudahan dunia pendidikan kita biasa lebih cepat di bandingkan sebelumnya,",positif
ide cemerlang yg perlu didukung n keluar dari zona nyaman,positif
"Mantap mas mentri, Indonesia butuh talenta hebat yg memberikan lompatan jauh bangsa ini keluar dari zona nyaman menuju era baru yg luar biasa majunya",positif
Menteri Pendidikan yg pernah dipunyai Indonesia terkeren!,positif
semangat mentriku,positif
"Konsepnya bagus, walau masih dalam tataran ide ",positif
Parah keren Mas menteri! Optimis sama Kebijakan - Kebijakan baru ini!,positif
Keren.,positif
Keren👏👏👏👏,positif
yuk kita sukseskan kampus merdeka,positif
"inovatif banget mas nadiem, tercinta",positif
Memang mas mentri ini top markotop,positif
makanya perlu disyukuri saat ini ada mentri pendobrak kemajuan pendidikan,positif
"Gotong royong n kolaborasi dengan Pemda, Dunia Usaha n NGO.",positif
mantap,positif
Maantaapp,positif
"Keren pak Menteri, lanjutkan",positif
"Jokowi memilih mendikbud yg tepat, maju terus mas menteri. ",positif
mantappp,positif
mantap,positif
"saya percaya dengan nadiem, kebijakan yg jos. pasti keren hasilnya",positif
Brarti banyak manfaatnya,positif
Kongkrit,positif
"Semakin terjun kebawah, semakin bergerak perubahan dengan cepat",positif
Serasa mendapat udara segar pendidikan 😍,positif
Hidup mahasiswa.,positif
komen ke dua......... lanjutkan demi kebaikan bangsa anak cucu kita juga yg menikmatinya,positif
"Baru kali ini aku dengar mendikbud, bahas masalah Prodi.",positif
"Ada benarnya jg, satu disiplin ilmu akan menghasilkan perenang yg sempit.",positif
maka dari itu Mendikbud meluncurkan program ini. Mhs diberi opsi utk menambah pengalaman n wawasan di lautan luas.,positif
"Semoga cepat disahkan ,, amin🙏",positif
"Saya cukup setuju dengan rencana penerapan sistem magang 3 semester Pak Nadiem. Karena di dunia kerja modern saat ini perusahaan cenderung mencari para lulusan2 yg siap pakai di dunia kerja. n salah satu cara untuk membuat para lulusan pt (sarjana) dapat dipakai di dunia kerja modern adalah pengalaman kerja, dimana hal tersebut dapat diperoleh melalui magang.",positif
"Bikin gak bosen jg,",positif
"tidak diragukan lagi, memang keren",positif
Magang 1½ tahun ide yg bagus buat perusahaan gak perlu pake masa percobaan karena harus gaji UMR cukup pake tenaga mahasiswa magang tinggal kasih makan sama ongkos 😁,positif
"Semoga mulai tahun ajaran ini ya, Mas Nadiem.",positif
"Betul, praktek lebih baik dari pada teori",positif
Harusnya program pak nadiem ini bisa d terapkan.,positif
Nadiem Makarim adalah anak muda yg sukses jadi sudah pasti dia lebih tau bagaimana caranya membuat anak muda sukses.....,positif
wah terobosan,positif
Setuju sama program pak Nadiem,positif
mantap,positif
mantap,positif
Nahh gitu donk,positif
Magang itu menyenangkan buat saya yg hobi kerja Terimakasih modul yg telah membuat saya depresi di usia muda,positif
Menurut sya itu bagus 3 semester magang akan sangat bnyak ilmu nyata yg didapat ketimbang baca buku hanya dapat teori saja setelah magang 3 semester mahasiswa mampu membuat sebuah teori n mencocokkan teori yg sudah ada sebelumnya mantap mas nadiem makarim gak salah mendikbud kita ini,positif
Baru kali ini ada pemimpin kaya ini di kependidikan,positif
lah ini yg gua tunggu praktek langsung lewat magang langsung diaplikasikan mas menteri.,positif
"SANGAT SETUJU, TERUTAMA UNTUK MEMAHAMI LINTAS ILMU DENGAN PARADIGMA TERKAIT DASAR ILMUNYA.",positif
Setuju.. gw pengen bisa magang.. Biar tau kerja tuh gmn.. yg penting itu adalah dunia kerja nanti udh sampe akhir hayat.. Bukannya kuliah malah kyk balik sekolah lg.. Belajar duduk di kelas aja terus tiap hari...,positif
Sangat setuju,positif
Setuju...,positif
Setuju banget,positif
"Setuju, Setuju ...",positif
"saya kira semua orang akan setuju UNTUK MENGUASAI 1 BIDANG ILMU , MAHASISWA HARUS MENGERTI 4 BIDANG ILMU DI LUAR ILMU YG DIGELUTINYA... Cth .. Mhswa Teknik Sipil , Dia harus menguasai : 1. Manajemen  2. Psikology 3. Kimia  4. Agama.. Dst , dst , dst ... boleh ilmu2 yg lain minimal 4 ilmu di luar disiplin ilmu nya KARENA DI DUNIA KERJA ke 4 ilmu itu pasti dipake di dunia teknik sipil ... atau suatu saat ingin banting stir dia bisa siap sedia",positif
Setuju aku kalo ada magang,positif
"setuju sekali, biar anak kuliah lbh siap kerja.",positif
ya setujulah dengan kebijakan seperti ini semoga bisa terwujud,positif
"Alhamdulillah, selalu mikir gimana caranya supaya bisa magang n dapat pengalaman kerja untuk CV nanti. ",positif
"Setuju, Akhirnya gw buat tujuan buat seringin aktivitas eksternal kyk liputan sampe 20 kali.",positif
"Mantab, magangnya 3 semester utk persiapan dunia kerja,",positif
Ide bagus pak,positif
keren,positif
Bagus banget gue setuju,positif
Bagus nih pak program nya semoga cepat direalisaskkan,positif
SETUJU. Karna satu semester dirasa kurang untuk menunjang keahlian dalam bidang masing masing pada dunia kerja.,positif
Sy percaya dgn apapun masukan dr nadiem. Sy percaya nadiem lebih paham masa depan.,positif
harus didukung,positif
"Ya Allah, akhir nya pak, knp ga dr dulu. Gw SANGAT SETUJU, kenapa ?Supaya mahasiswa ga kaget ketika awal² masuk dunia kerja. Lah gw magang dulu cuman 3 bulan doang, begitu dah lulus, tetep aja sedikit canggung.👍",positif
"SETUJU PAK, SAYA SEBAGAI MAHASISWA TIDAK KEBERATAN",positif
bangga,positif
Ada benernya biar gak kaget krn dunia kuliah beda jauh dg dunia kerja,positif
"Ini keren Pak,  semoga terealisasi.. 😁😁",positif
Saya sebagai mahasiswa setuju banget dengan adanya ini semua,positif
Gue demen nih,positif
"Saya setuju, biar mahasiswa gak cuma jago bacod.",positif
Bisa jadi peluang kerja kalo perusahaan cocok sama mahasiswa yg magang langsung deh dipesan pas udah lulus,positif
gue bangga banget jadi rakyat indo,positif
"Setuju, karena saya merasa kurang kerja praktek di suzuki hanya 1 bulan. Masih banyak ilmu teknik yg bisa saya gali kalo saya bisa lebih lama disana dibanding di perkuliahan.",positif
"nadiem gokil,,,",positif
Setuju.,positif
semoga lancar,positif
magang yuk biar siap kerja,positif
setuju setuju aja,positif
"Setuju lah, ",positif
gue yakin semua perlu merasakan magang sih,positif
Benar sekali mas,positif
Mantab. Biar mahasiswa nggak belajar teori doang n nol kemampuan yg memang sudah menjadi penyakit universitas dr tahun Indonesia merdeka,positif
Setuju pak...,positif
magang yg sesungguhnya,positif
Alhamdulilah,positif
Belajar langsung praktek itu metode belajar yg efektif...,positif
mantap ditambah 1 semester lagi 😁👍,positif
"gue cukup merasakan perubahan signifikan kayak bagaimana bekerja profesional, komunikasi, manajemen waktu, dll.",positif
"Pas merasa jadi mahasiswa akhir, iya sih setuju banget😭",positif
Bagus.. sangat praktikal.. setuju 100%,positif
alhamdulillah semangat pak\\n,positif
Kalo ngambil mata kuliah di luar program studi itu di sudah diterapkan (minimal)  di salah satu kampus negeri.,positif
Cerdas...\\n,positif
Lanjutkan\\n,positif
Setuju... biar merasakan bagaimana diinjak2 orang saat kerja,positif
Setuju\\n,positif
mantap,positif
"Setuju banget, jgn dikasihnya cma materi terus tpi prakteknya dibanyakin!!",positif
Setuju pak n sistem laporanya jelas biar tau,positif
gaya seperti ini adalah hal yg bagus untuk pendidikan di indonesia. ada pembaruan metode pembelajaran,positif
"saya si setuju saja, apalagi saya sebagai mahasiswa teknik yg bukan hanya membutuhkan pengetahuan tetapi juga pengalaman n memperdalam kemampuan💪",positif
setuju pak. saya teknik mesin kalau cuma magang 1-3 bulan ilmunya belum dapat pak.,positif
SETUJU BANYAKIN PRAKTEK n harus ada opsi jika praktek kerja d instansi jika mahasiswa nya ke pake ada opsi untuk menjadi karyawan perusahaan trsbt atas persetujuan kedua belah pihak agar ketika mahasiswa lulus kuliah ada yg menunggu perusahan d luar sana untuk menjadi karyawannya,positif
Setuju pak.. kalau dikasih fasilitas malah seneng,positif
"Magang Tiga Semester Setelah Magang Dapat Sertifikat pengalaman Kerja, Biar selesai kuliah modal ijasah n Pengalaman Kerja Jadi Pegangan Kuat Untuk mudah mencari kerja. Magang Juga Sebagai Modal Untuk mengasah kemampuan dalam berwirausaha.",positif
Gue sih setuju sama programmnya;),positif
"Magang tidak harus di perusahaan, tetapi juga kementerian, NGO, lembaga riset atau penerbit (sejarah, sosiologi, sastra bisa masuk)",positif
"Bener nih bagus, jd buat lulusan nantinya dah memenuhi min 1 tahun pengalaman kerja dibidangnya 😂😂😂😂, pas gw cmn 2 bulan njir 😂😂😂😂",positif
"Saya cukup setuju, apalagi saya berada di fakultas pendidikan yg nntinya bakal magang di sekolah2, ",positif
"Stuju! Kita ni mahasiswa tua yg mau lulus aja bingung mau kerja dimna, lanjut sesuai jurusan atau engga jdi g ada bayangannya.. Program studi magang juga cuma 1 bulan kurang, enggak mewakili lah cuma 1 bulan mah",positif
sukses programnya pak\\n,positif
ayo lakukan perubahan,positif
Untung aja gue udah siap magang\\n,positif
wah ini pasti sukses sih\\n,positif
Setuju pak.,positif
Asik\\n,positif
"Mantap, ga ush lama lama belajar teori lagi mhs mah, langsung eksekusi n magang biar bisa tau potensi kita gmn",positif
Asli enk gini\\n,positif
"Setuju sih Saya Pak,",positif
Setuju... Pengalaman harus seimbang dengan teori. Supaya teorinya bisa diaplikasiin (aplikatif).,positif
gua suka bgt sama cara berpikirnya nadiem,positif
Nah setuju apalagi untuk mahasiswa keguruan. Magang 3 bulan di sekolah rasanya hanya numpang lewat doang,positif
Hampir mirip dengan metode yg sedang saya coba sekarang. keren,positif
mantap lancar deh\\n,positif
"Setuju pak, berarti gaji  dosen meningkat",positif
Iya pak bener banget,positif
Klo ini bkrj sama dg kementrian tenaga kerja pasti bagus,positif
bisa menambah pengalaman sehingga mahasiswa tidak kaget dengan dunia kerja ketika setelah lulus.,positif
mantap,positif
Kl menurut gw bener sih,positif
Selain mengetahui teori mahasiswa juga harus mengetahui fenomena lapangan sesuai disiplin ilmunya,positif
Bener banget bro. Banyak hal baik yg kita dapat saat berada di dunia kerja.,positif
Indonesia butuh perubahan yg cepat Kalau maju masa depan akan terlihat,positif
Setuju,positif
"enak dong, keluar dari kampus udah bukan lulusan baru tp udah punya pengalaman 1 tahun",positif
"Setuju sekali, mantap mas mentri",positif
"Setuju pak, kuliah sekarang kebanyakan teorinya, ",positif
keren mas mentri,positif
"100% setuju, biar siap tempur dilapangan.",positif
"stuju.. kuliah hrus memperbanyak Praktek, bkn Teori",positif
padahal dampaknya bagus loh apakah DPR tu anti perubahan ya ?,positif
jadi emang magang lebih dari 1 tahun biar pas lulus udah ada pengalaman kerja,positif
Setuju,positif
"Memang, sistem pendidikan di Indonesia harus dirombak ke arah yg lebih baik",positif
"Kalau saya sih setuju banget pak, menambah ilmu n keahlian kita di bidang lain, ",positif
"Saya mahasiswa SCM magang 1 tahun 3 bulan, setelah magang dpt surprise dr bos wkwk",positif
"Ya, sebenernya itu biasa aja. Toh, universitas swasta justru mewajibkan magang. Ya mungkin takut kalah juga sih sama universitas negeri yg punya nama. tp menurut saya, mahasiswa indonesia ini harus menumbuhkan nilai nilai filosofis, kayak pendidikan jerman yg bertumpu pada sistem pendidikan yg berdasar  dari von Humboldt. Jadi ga diragukan lagi sistem pendidikan yg baik.",positif
Setuju. Kalo bisa pak Teorinya cukup 20%  n 80%nya praktek.,positif
"gebrakan lain masih ditunggu, semangat pak",positif
Setuju pak. Saya sendiri sebagai mahasiswa aktif sekarang ini kebijakan ini menurut saya sangat benar.,positif
semangat mas menteri,positif
kadang di dunia pekerjaan teoritis berbeda dengan praktik. Saya anak hukum sudah lihat itu di dunia pengacara,positif
thx infonya,positif
menurut saya magangnya bisa berupa mengembangkan bisnisnya,positif
Bisa bisa! n saya setuju jika kebijakan ini dilakukan sehingga ketika lulus sudah ada pekerjaan.,positif
yuk magang,positif
kebijakan bagus nih,positif
"banyak alternatif dari kebijakan ini kok, ayo didukung",positif
"kalo semua jurusan wajib, itu baru mantap",positif
"gagasan bagus, orisinil",positif
Setuju banget gak cuma materi tpi harus kerja nyata di lapangan👌👌👌,positif
Setuju pak.. bapak mewakili kami yg pernah jadi mahasiswa.,positif
Nah ini keren,positif
Ini setuju banget magang itu membuka wawasan bagi mana rasanya kerja.,positif
Untung aku masih SMP bentar lagi SMA,positif
"tenang, hasilnya pasti mantap di tangan nadiem",positif
Setuju banget....memang beda kalo yg berinisiatif itu orang yg cerdas,positif
"Merdeka,  millenial jga hrus berpendapat...",positif
Setuju. Krn kuliah aja teori doang dapat nilai bagus belom tentu praktiknya bagus juga. Pengalaman kerja sangat sangat sangat dibutuhkan,positif
"Bagus sih, ",positif
Mari Kita dukung biar semua tambah semngat beljar menghilangkan kebodohan yg Ada  di jaman akhir ini,positif
ayo magang,positif
"kalau ngerjainnya bukan sekadar lulus, bisa jadi berguna banget dijadikan langkah awal untuk penelitian lebih lanjut.",positif
Mahasiswa mw magang atw tidak silahkan. Intinya universitas harus memberikan 3 semester untuk mahasiswa yg mw magang,positif
"baik, Nah opsi2 ini bisa menjadi alternatif di masa mendatang.",positif
"kalo udah fix, seneng banget gw 😄😄😄😄😄😄😄😄😄",positif
Amin kan 😂,positif
dukungan untuk kebijakan luar biasa,positif
"Sebenarnya internship bagi mahasiswa politeknik/ vokasi sudah bukan hal yg baru lagi di indonesia, tp gagasan ini memang keren",positif
Kayaknya sih buat yg mau doang supaya lebih siap di dunia kerja.,positif
Ngk papa lama lulus tp nyata sudah dapat kerja.,positif
"Detailnya disitu temen2 semua, tidak terbatas pada magang di perusahaan/ instansi saja kok. Bisa wirausaha, kuliah lintas disiplin, dll",positif
Jadi mahasiswa keren,positif
"Setuju, sehingga mahasiswa punya pengalaman, wadah aap yg akan dia lakukan kelak. Sesuai keinginannya.",positif
Mantul,positif
"Lah iya , saya di Jerman ,intern udah bisa dari semester 4 (kalo mau). Saya kerja sampingan kuliah + intern = keblinger",positif
"Semangat ya, hebat, bisa buat contoh untuk yg lain",positif
"Tapi buktinya jerman punya kualitas pendidikan yg bagus juga, berarti selama ini mereka emg bagus kebijakannya",positif
Salam dari saya mahasiswa semester 12 bang. Tetap semangat 🙌🏻,positif
Tau khdupan krja Biar lega magang kalo bs dapet ilmu sebanyak banyaknya..,positif
bisa jadi👍👍👍,positif
Luar biasa ..... tajam n terarah,positif
Luar biasa ..... tajam n terarah,positif
MERDEKA belajar kolaborasi ini bisa menyatukan nusantara wawasan nusantara mulai dr sabang sampai. meraukE ...dimungkinkan adanya kolaborasi yg nyata..,positif
Inilah menteri yg betul2 punya visi ke depan untuk SDM indonesia unggul Hebat karena di indonesia ini masih banyak gelandangan politik n ekonomi berkeliaran yg tidak menginginkan indonesia melompat tiga langkah ... Selamat pak nadiem ... semoga ini menjadi kunci,positif
Mas  Mendikbud memang joss.. transparansi penggunaan dana BOS..,positif
Anak muda yg menguasai ilmu bukan hanya teori tp udh dipraktekkan secara nyata,positif
"KITA akan menjadi leadership yg handal kedepan, itulah generasi yg kita harapkan anin,🙏,",positif
Efisien  Efektif professional (piawai )di bidangnya masing masing 😎😆😀🙏👍,positif
"KITA mendukung generasi mudanya INDONESIA, menjadi lebih baik n benar kedepannya, majulah terus KITA akan bahagia -😎😆sebagai SDM yg kwalitas tinggi 🙏👍,-",positif
"mantap pak menteri pendidikan 👍,😎🙏,-",positif
Semoga Pendidikan di Indonesia semakin maju n mampu bersaing di dunia,positif
MANTAB MAS... Inovasi hanya bisa dilakukan jika ruang gerak tidak dibatasi (2.45)... Smg para mahasiswa lebih merdeka dalam berkreasi... Sukses selalu.,positif
"Anjir, keren cui, sumpah dah ini mah keren abis. Kalau dulu wan aibon kayak gini, gak mungkin dah sampai dibuang",positif
Presentasi yg membangunkan pola pikir yg selama ini tertidur…,positif
Semoga niat baik bapak menteri di mudahkan ya aamiin,positif
semoga bisa merubah dunia Pendidikan agar menjadi lebih baik.....,positif
"mantap, S1 nya sudah model manajemen pelatihan. butuh 1 dekade  bahkan lebih untuk melihat hasil perencanaan ini",positif
